date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
3/7/21,10147,0,2676,0,0,494,45976,1931711,2087,1515,0,499819,408,1,2323788,2347
3/6/21,10148,27,2675,0,0,526,45976,1929624,4866,1514,0,499411,524,1,2321441,5314
3/5/21,10121,28,2672,0,169,526,45976,1924758,4223,1514,0,498887,811,1,2316127,4920
3/4/21,10093,65,2666,0,84,544,45807,1920535,4990,1513,0,498076,922,1,2311207,5890
3/3/21,10028,38,2662,0,24,559,45723,1915545,7243,1510,0,497154,2733,1,2305317,9595
3/2/21,9990,60,2659,0,51,631,45699,1908302,3161,1509,0,494421,652,1,2295722,3648
3/1/21,9930,2,2651,0,220,651,45648,1905141,1450,1508,0,493769,517,1,2292074,1858
2/28/21,9928,0,2650,0,0,657,45428,1903691,2776,1508,0,493252,569,1,2290216,3265
2/27/21,9929,61,2650,0,0,622,45428,1900915,4496,1508,0,492683,834,1,2286951,5303
2/26/21,9868,38,2650,0,116,691,45428,1896419,4871,1507,0,491849,739,1,2281648,5460
2/25/21,9830,87,2642,0,62,722,45312,1891548,6397,1503,0,491110,890,1,2276188,7155
2/24/21,9743,84,2641,0,0,773,45250,1885151,2971,1500,0,490220,1247,1,2269033,3947
2/23/21,9659,68,2632,0,122,762,45250,1882180,4250,1497,0,488973,1453,1,2265086,4825
2/22/21,9591,0,2623,0,361,862,45128,1877930,2101,1490,0,487520,677,1,2260261,2586
2/21/21,9591,2,2623,0,0,867,44767,1875829,3104,1490,0,486843,857,1,2257675,3784
2/20/21,9589,17,2623,0,0,895,44767,1872725,4864,1490,0,485986,774,1,2253891,5436
2/19/21,9572,149,2619,0,0,951,44767,1867861,4264,1488,0,485212,847,1,2248455,5063
2/18/21,9423,78,2616,0,226,1003,44767,1863597,4081,1485,0,484365,1198,1,2243392,5091
2/17/21,9345,89,2609,0,0,1030,44541,1859516,2428,1479,0,483167,679,1,2238301,2844
2/16/21,9256,13,2607,0,199,1104,44541,1857088,3250,1479,0,482488,883,1,2235457,3816
2/15/21,9243,2,2605,0,194,1087,44342,1853838,2230,1479,0,481605,674,1,2231641,2735
2/14/21,9241,0,2605,0,0,1136,44148,1851608,3050,1479,0,480931,1075,1,2228906,3890
2/13/21,9241,62,2604,0,0,1140,44148,1848558,6042,1479,0,479856,1189,1,2225016,6873
2/12/21,9179,159,2595,0,242,1267,44148,1842516,5891,1472,0,478667,1097,1,2218143,6772
2/11/21,9020,133,2588,0,221,1281,43906,1836625,5952,1465,0,477570,1503,1,2211371,7097
2/10/21,8887,309,2584,0,186,1401,43685,1830673,5488,1463,0,476067,1401,1,2204274,6463
2/9/21,8578,56,2583,0,116,1441,43499,1825185,5105,1463,0,474666,1318,1,2197811,5960
2/8/21,8522,8,2577,0,378,1524,43383,1820080,3807,1460,0,473348,925,1,2191851,4522
2/7/21,8514,2,2576,0,0,1513,43005,1816273,4462,1460,0,472423,1112,1,2187329,5308
2/6/21,8512,64,2575,0,0,1551,43005,1811811,29900,1460,0,471311,1992,1,2182021,32337
2/5/21,8448,84,2566,0,194,1671,43005,1781911,0,1458,0,469319,1496,1,2149684,0
2/4/21,8364,162,2564,0,84,1666,42811,1781911,7810,1457,0,467823,2767,1,2149684,9765
2/3/21,8202,309,2561,0,399,1777,42727,1774101,4663,1457,0,465056,2118,1,2139919,6083
2/2/21,7893,206,2555,0,469,1868,42328,1769438,0,1456,0,462938,2078,1,2133836,0
2/1/21,7687,0,2552,0,0,1888,41859,1781197,2811,1456,0,460860,1221,1,2144425,3720
1/31/21,7687,122,2551,0,0,1884,41859,1778386,10433,1455,0,459639,4057,1,2140705,13397
1/30/21,7565,0,2539,0,376,1879,41859,1767953,0,1452,0,455582,0,1,2127308,0
1/29/21,7565,226,2539,0,0,1978,41483,1767953,8782,1452,0,455582,2848,1,2127308,10666
1/28/21,7339,168,2533,0,0,2052,41483,1759171,8103,1449,0,452734,3648,1,2116642,10607
1/27/21,7171,276,2524,0,168,2122,41483,1751068,6016,1444,0,449086,3177,1,2106035,8065
1/26/21,6895,234,2518,0,246,2222,41315,1745052,5029,1440,0,445909,2900,1,2097970,6959
1/25/21,6661,2,2511,0,555,2285,41069,1740023,2929,1433,0,443009,1839,1,2091011,4456
1/24/21,6659,3,2511,0,0,2254,40514,1737094,6623,1433,0,441170,1728,1,2086555,8067
1/23/21,6656,171,2510,0,0,2258,40514,1730471,9797,1432,0,439442,3355,1,2078488,12137
1/22/21,6485,107,2500,0,237,2408,40514,1720674,5432,1426,0,436087,3551,1,2066351,8127
1/21/21,6378,96,2495,0,349,2478,40277,1715242,5492,1424,0,432536,2881,1,2058224,7587
1/20/21,6282,157,2493,0,424,2522,39928,1709750,7626,1423,0,429655,3112,1,2050637,9530
1/19/21,6125,5,2486,0,0,2724,39504,1702124,5109,1421,0,426543,2515,1,2041107,6912
1/18/21,6120,1,2485,0,741,2798,39504,1697015,3580,1420,0,424028,1430,1,2034195,4707
1/17/21,6119,1,2484,0,0,2716,38763,1693435,6755,1420,0,422598,1917,1,2029488,8365
1/16/21,6118,89,2483,0,0,2772,38763,1686680,6552,1419,0,420681,3153,1,2021123,8910
1/15/21,6029,85,2476,0,313,2863,38763,1680128,10166,1415,0,417528,2945,1,2012213,12520
1/14/21,5944,185,2470,0,221,2850,38450,1669962,7366,1412,0,414583,3588,1,1999693,9969
1/13/21,5759,187,2466,0,642,2975,38229,1662596,6653,1410,0,410995,3147,1,1989724,8705
1/12/21,5572,226,2462,0,0,3076,37587,1655943,6125,1409,0,407848,3848,1,1981019,8156
1/11/21,5346,13,2459,0,833,3088,37587,1649818,4447,1406,0,404000,2100,1,1972863,6207
1/10/21,5333,35,2459,0,0,2863,36754,1645371,7584,1405,0,401900,2750,1,1966656,9870
1/9/21,5298,108,2459,0,0,2995,36754,1637787,8919,1405,0,399150,4863,1,1956786,12553
1/8/21,5190,111,2456,0,343,3046,36754,1628868,8420,1404,0,394287,5057,1,1944233,12202
1/7/21,5079,86,2449,0,352,3015,36411,1620448,7507,1404,0,389230,5046,1,1932031,10821
1/6/21,4993,108,2448,0,629,2967,36059,1612941,7150,1404,0,384184,4591,1,1921210,10329
1/5/21,4885,8,2445,0,0,3080,35430,1605791,3889,1400,0,379593,5498,1,1910881,7493
1/4/21,4877,5,2445,0,1057,3064,35430,1601902,1632,1399,0,374095,2161,1,1903388,3318
1/3/21,4872,1,2442,0,0,2885,34373,1600270,6555,1399,0,371934,2476,1,1900070,8602
1/2/21,4871,0,2440,0,0,2815,34373,1593715,2965,1398,0,369458,3711,1,1891468,6252
1/1/21,4871,45,2440,0,189,2815,34373,1590750,7331,1398,0,365747,4521,1,1885216,11216
12/31/20,4826,53,2438,0,353,2815,34184,1583419,8344,1396,0,361226,4406,1,1874000,11752
12/30/20,4773,37,2429,0,379,2813,33831,1575075,3822,1396,0,356820,5016,1,1862248,7056
12/29/20,4736,25,2424,0,453,2804,33452,1571253,5055,1394,0,351804,3907,1,1855192,7075
12/28/20,4711,21,2421,0,884,2802,32999,1566198,2717,1388,0,347897,2269,1,1848117,4377
12/27/20,4690,6,2421,0,0,2585,32115,1563481,2503,1388,0,345628,2170,1,1843740,4105
12/26/20,4684,5,2421,0,161,2470,32115,1560978,4308,1387,0,343458,1032,1,1839635,5211
12/25/20,4679,4,2421,0,0,2465,31954,1556670,6668,1387,0,342426,3625,1,1834424,9743
12/24/20,4675,89,2418,0,303,2542,31954,1550002,8151,1387,0,338801,4232,1,1824681,11330
12/23/20,4586,135,2412,0,346,2535,31651,1541851,9211,1385,0,334569,4758,1,1813351,12372
12/22/20,4451,63,2399,0,311,2527,31305,1532640,7130,1381,0,329811,4979,1,1800979,10678
12/21/20,4388,0,2391,0,770,2526,30994,1525510,4218,1377,0,324832,2380,1,1790301,6411
12/20/20,4388,0,2390,0,0,2337,30224,1521292,6365,1377,0,322452,2548,1,1783890,8462
12/19/20,4388,93,2389,0,0,2318,30224,1514927,7723,1377,0,319904,4221,1,1775428,10678
12/18/20,4295,42,2384,0,665,2447,30224,1507204,7855,1371,0,315683,5348,1,1764750,12037
12/17/20,4253,56,2383,0,0,2425,29559,1499349,8070,1369,0,310335,4695,1,1752713,11585
12/16/20,4197,74,2380,0,300,2310,29559,1491279,6097,1364,0,305640,4107,1,1741128,8943
12/15/20,4123,22,2374,0,346,2353,29259,1485182,6275,1360,0,301533,3638,1,1732185,8516
12/14/20,4101,0,2363,0,767,2286,28913,1478907,20347,1353,0,297895,2264,1,1723669,27230
12/13/20,4101,0,2357,0,0,2248,28146,1458560,0,1351,0,295631,2790,1,1696439,0
12/12/20,4101,16,2356,0,0,2161,28146,1458560,0,1350,0,292841,4066,1,1696439,0
12/11/20,4085,52,2351,0,528,2111,28146,1458560,9190,1349,0,288775,3853,1,1696439,12077
12/10/20,4033,49,2342,0,0,2170,27618,1449370,7745,1341,0,284922,4735,1,1684362,11198
12/9/20,3984,43,2321,0,295,2111,27618,1441625,6542,1329,0,280187,3522,1,1673164,9074
12/8/20,3941,50,2305,0,279,2097,27323,1435083,9299,1323,0,276665,4436,1,1664090,12517
12/7/20,3891,3,2290,0,713,2079,27044,1425784,4658,1317,0,272229,2352,1,1651573,6532
12/6/20,3888,12,2290,0,0,1927,26331,1421126,5769,1317,0,269877,2288,1,1645041,7880
12/5/20,3876,46,2290,0,0,1867,26331,1415357,8058,1317,0,267589,3390,1,1637161,10793
12/4/20,3830,55,2274,0,269,1875,26331,1407299,7289,1312,0,264199,3840,1,1626368,10420
12/3/20,3775,65,2259,0,241,1827,26062,1400010,9659,1302,0,260359,3531,1,1615948,12425
12/2/20,3710,73,2252,0,211,1801,25821,1390351,6546,1298,0,256828,3928,1,1603523,9681
12/1/20,3637,60,2242,0,272,1785,25610,1383805,7481,1291,0,252900,3376,1,1593842,9495
11/30/20,3577,1,2237,0,668,1717,25338,1376324,2554,1288,0,249524,2295,1,1584347,4634
11/29/20,3576,5,2234,0,0,1609,24670,1373770,3978,1287,0,247229,2236,1,1579713,5811
11/28/20,3571,0,2231,0,219,1571,24670,1369792,4552,1286,0,244993,2119,1,1573902,6189
11/27/20,3571,0,2228,0,50,1526,24451,1365240,4053,1284,0,242874,917,1,1567713,4771
11/26/20,3571,40,2227,0,25,1434,24401,1361187,7226,1282,0,241957,2639,1,1562942,9355
11/25/20,3531,60,2217,0,216,1483,24376,1353961,6944,1276,0,239318,2453,1,1553587,8722
11/24/20,3471,13,2211,0,218,1428,24160,1347017,9276,1276,0,236865,2785,1,1544865,11237
11/23/20,3458,2,2201,0,493,1427,23942,1337741,6940,1268,0,234080,1574,1,1533628,8242
11/22/20,3456,0,2199,0,0,1332,23449,1330801,5710,1268,0,232506,1798,1,1525386,7200
11/21/20,3456,6,2197,0,0,1300,23449,1325091,8287,1268,0,230708,2335,1,1518186,9974
11/20/20,3450,32,2189,0,154,1329,23449,1316804,9548,1265,0,228373,2463,1,1508212,11495
11/19/20,3418,72,2182,0,207,1315,23295,1307256,13211,1261,0,225910,2424,1,1496717,15049
11/18/20,3346,46,2165,0,372,1303,23088,1294045,6373,1249,0,223486,2638,1,1481668,8122
11/17/20,3300,52,2158,0,0,1289,22716,1287672,5714,1246,0,220848,1616,1,1473546,6943
11/16/20,3248,1,2153,0,441,1262,22716,1281958,6043,1244,0,219232,1410,1,1466603,7197
11/15/20,3247,2,2151,0,0,1195,22275,1275915,4655,1244,0,217822,1979,1,1459406,6251
11/14/20,3245,15,2151,0,0,1120,22275,1271260,10660,1244,0,215843,2226,1,1453155,12280
11/13/20,3230,18,2148,0,85,1177,22275,1260600,15365,1243,0,213617,2980,1,1440875,19285
